Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Rarely,31-35,Current Employees,HR,Life Sciences,E0032,32,Female,Sales Executive,Married,No,Yes,4,41,No,1064,16,5,1,4,32,3,4,3,7657,24749,2,15,2,3,80,2,6,4,10,5,3,2
No,Travel_Frequently,46-50,Current Employees,R&D,Medical,E0033,33,Female,Research Scientist,Single,No,Yes,5,44,Yes,1075,25,1,1,1,21,1,3,2,4917,20138,5,18,2,1,80,1,19,3,2,8,3,1
Yes,Travel_Rarely,26-30,Current Employees,HR,Other,E0034,34,Male,Research Scientist,Single,No,Yes,4,37,Yes,1025,2,1,1,4,36,4,5,1,5290,27868,3,15,4,4,80,3,3,2,8,1,3,5
No,Travel_Frequently,26-30,Ex-Employees,R&D,Life Sciences,E0035,35,Female,Sales Executive,Married,No,Yes,3,47,No,1271,20,1,1,4,41,4,5,3,5155,23005,3,15,1,4,80,0,8,3,1,7,1,4
No,Travel_Rarely,31-35,Current Employees,HR,Other,E0036,36,Male,Research Scientist,Single,Yes,Yes,5,34,No,1164,21,2,1,3,34,1,1,2,4305,28535,2,8,3,3,80,1,3,1,2,2,5,9
Yes,Travel_Frequently,31-35,Current Employees,Sales,Life Sciences,E0037,37,Male,Sales Executive,Single,No,Yes,1,49,No,1208,11,1,1,4,25,2,5,1,4644,28268,1,11,1,2,80,2,11,2,5,9,2,3
No,Travel_Frequently,26-30,Current Employees,HR,Life Sciences,E0038,38,Female,Research Scientist,Married,No,Yes,3,34,Yes,1109,10,4,1,3,44,3,1,3,8984,27459,4,14,1,4,80,3,3,2,8,4,3,1
No,Travel_Rarely,31-35,Current Employees,Sales,Life Sciences,E0039,39,Female,HR Manager,Married,No,Yes,4,45,No,1363,14,5,1,3,47,4,4,1,8852,28557,2,14,1,2,80,0,9,4,4,5,1,9
Yes,Travel_Frequently,46-50,Ex-Employees,R&D,Life Sciences,E0040,40,Male,Sales Executive,Single,Yes,Yes,1,46,No,1474,10,5,1,2,48,1,5,4,9153,25085,4,16,4,4,80,0,7,3,4,1,1,9
Yes,Travel_Rarely,31-35,Current Employees,HR,Life Sciences,E0041,41,Female,Sales Executive,Married,No,Yes,5,32,No,1425,2,2,1,3,49,1,4,2,7161,23088,3,6,4,1,80,1,12,1,6,8,4,8
No,Travel_Frequently,46-50,Current Employees,R&D,Medical,E0042,42,Female,Research Scientist,Single,No,Yes,2,35,Yes,1382,11,4,1,1,22,4,5,1,3104,24873,4,14,3,1,80,3,14,3,6,2,1,5
Yes,Travel_Rarely,26-30,Current Employees,HR,Other,E0043,43,Male,HR Manager,Divorced,Yes,Yes,4,42,No,1033,10,2,1,3,49,4,1,1,7777,26796,3,6,4,1,80,0,15,4,1,4,5,2
No,Travel_Rarely,41-45,Current Employees,Sales,Life Sciences,E0044,44,Male,Sales Executive,Divorced,No,Yes,5,37,Yes,1078,11,2,1,3,50,1,4,3,8756,20127,5,14,2,1,80,0,18,3,2,6,2,3
No,Travel_Frequently,26-30,Current Employees,Sales,Medical,E0045,45,Female,HR Manager,Single,No,Yes,5,32,Yes,1262,30,1,1,4,22,4,3,1,4169,24878,5,5,3,1,80,3,12,4,9,3,5,7
No,Travel_Rarely,26-30,Ex-Employees,HR,Life Sciences,E0046,46,Female,Sales Executive,Single,No,Yes,4,42,No,1227,19,3,1,4,46,2,4,3,9559,27516,1,12,4,1,80,0,20,3,2,8,1,4
No,Travel_Rarely,26-30,Ex-Employees,R&D,Life Sciences,E0047,47,Male,Research Scientist,Single,Yes,Yes,4,39,Yes,1164,13,2,1,1,37,3,1,3,4383,27050,5,13,3,4,80,0,14,2,3,9,5,1
No,Travel_Rarely,46-50,Ex-Employees,HR,Other,E0048,48,Female,Research Scientist,Married,No,Yes,4,33,No,1214,30,2,1,2,32,3,3,1,9024,26554,3,16,1,3,80,2,8,1,5,8,0,10
Yes,Travel_Frequently,41-45,Current Employees,HR,Life Sciences,E0049,49,Male,HR Manager,Single,No,Yes,5,30,Yes,1154,1,5,1,4,41,1,4,4,4355,27998,1,6,2,3,80,2,3,1,6,9,1,3
No,Travel_Rarely,31-35,Current Employees,HR,Other,E0050,50,Female,Research Scientist,Married,No,Yes,3,48,No,1027,28,3,1,3,32,2,3,3,3715,22304,1,16,3,1,80,1,4,3,10,6,1,4
Yes,Travel_Frequently,36-40,Current Employees,R&D,Life Sciences,E0051,51,Female,HR Manager,Married,Yes,Yes,2,40,No,1059,30,3,1,2,36,1,2,1,3943,29435,2,5,1,1,80,0,7,1,6,1,1,6
No,Travel_Rarely,46-50,Current Employees,HR,Medical,E0052,52,Female,Research Scientist,Single,Yes,Yes,5,31,Yes,1331,3,5,1,4,43,3,1,1,7817,27027,4,12,2,3,80,1,6,3,7,1,4,5
No,Travel_Rarely,26-30,Ex-Employees,Sales,Life Sciences,E0053,53,Female,HR Manager,Divorced,No,Yes,4,34,No,1415,6,5,1,3,30,3,5,3,7460,22759,5,8,2,3,80,2,14,4,9,10,1,3
No,Travel_Rarely,26-30,Ex-Employees,HR,Medical,E0054,54,Male,Research Scientist,Single,No,Yes,3,30,Yes,1259,17,2,1,3,36,2,4,2,8623,21843,3,20,3,3,80,1,19,4,10,4,2,7
No,Travel_Frequently,36-40,Current Employees,HR,Medical,E0055,55,Male,HR Manager,Divorced,No,Yes,2,27,No,1227,15,3,1,4,41,1,3,2,4509,24293,3,19,1,4,80,1,1,3,2,5,4,7
Yes,Travel_Rarely,31-35,Ex-Employees,Sales,Medical,E0056,56,Male,Research Scientist,Married,No,Yes,3,31,No,1269,11,2,1,2,45,4,4,4,3627,26539,1,15,3,4,80,3,20,1,4,6,2,7
No,Travel_Rarely,41-45,Current Employees,HR,Medical,E0057,57,Female,HR Manager,Divorced,Yes,Yes,4,27,No,1479,5,1,1,1,39,1,2,1,5164,23412,4,7,3,3,80,0,12,4,5,3,0,7
Yes,Travel_Frequently,26-30,Ex-Employees,R&D,Life Sciences,E0058,58,Male,Sales Executive,Single,No,Yes,2,49,Yes,1014,29,4,1,4,22,3,1,1,7797,28415,1,7,3,1,80,2,19,4,2,9,2,4
Yes,Travel_Frequently,36-40,Current Employees,HR,Life Sciences,E0059,59,Male,HR Manager,Divorced,Yes,Yes,3,43,No,1319,7,1,1,2,43,4,3,4,8171,25917,5,9,4,1,80,1,10,2,10,3,1,6
No,Travel_Frequently,26-30,Current Employees,R&D,Medical,E0060,60,Male,Research Scientist,Divorced,No,Yes,3,38,Yes,1118,13,5,1,3,36,2,4,3,4093,21160,3,16,1,2,80,1,14,2,8,1,1,6
No,Travel_Rarely,36-40,Ex-Employees,HR,Medical,E0061,61,Female,Research Scientist,Single,No,Yes,3,27,No,1043,24,2,1,2,32,1,4,4,6905,23680,2,13,1,3,80,2,13,4,6,10,1,1
Yes,Travel_Frequently,31-35,Ex-Employees,HR,Other,E0062,62,Female,Sales Executive,Divorced,No,Yes,2,33,Yes,1146,22,5,1,3,20,4,4,3,6278,22331,3,15,4,4,80,1,6,2,8,3,1,9
No,Travel_Rarely,36-40,Ex-Employees,HR,Life Sciences,E0063,63,Male,Research Scientist,Single,No,Yes,4,34,No,1394,5,1,1,4,21,1,1,3,7226,23197,1,11,1,3,80,3,1,4,10,3,2,9
Yes,Travel_Frequently,26-30,Ex-Employees,R&D,Other,E0064,64,Female,Sales Executive,Single,Yes,Yes,2,40,Yes,1379,24,1,1,3,46,2,3,4,4336,23104,5,9,1,3,80,3,3,3,6,10,3,4
No,Travel_Frequently,46-50,Current Employees,Sales,Medical,E0065,65,Female,HR Manager,Divorced,No,Yes,3,30,Yes,1314,9,3,1,2,33,4,4,2,9677,22605,4,20,1,1,80,0,6,3,3,4,5,10
Yes,Travel_Frequently,31-35,Ex-Employees,HR,Other,E0066,66,Male,Research Scientist,Divorced,Yes,Yes,3,42,No,1038,2,3,1,3,50,1,3,4,5608,23246,1,6,4,2,80,2,9,4,7,10,3,3
Yes,Travel_Frequently,36-40,Current Employees,HR,Other,E0067,67,Male,Sales Executive,Divorced,No,Yes,4,50,Yes,1447,16,1,1,2,23,4,4,2,8983,22996,4,14,4,4,80,1,16,3,6,9,4,10
Yes,Travel_Frequently,46-50,Ex-Employees,HR,Medical,E0068,68,Male,Sales Executive,Divorced,No,Yes,1,35,No,1320,14,1,1,1,29,4,3,4,5121,20047,3,16,1,1,80,1,20,3,1,3,1,3
Yes,Travel_Rarely,41-45,Current Employees,Sales,Other,E0069,69,Female,Research Scientist,Divorced,Yes,Yes,4,50,Yes,1032,12,4,1,3,32,4,4,4,4478,29610,1,9,2,3,80,1,17,2,10,7,3,1
Yes,Travel_Rarely,41-45,Current Employees,HR,Other,E0070,70,Female,Sales Executive,Single,Yes,Yes,2,26,No,1481,19,5,1,1,29,4,5,1,9013,27211,2,10,4,4,80,2,12,3,9,5,0,9
No,Travel_Frequently,36-40,Ex-Employees,R&D,Life Sciences,E0071,71,Female,Sales Executive,Divorced,No,Yes,3,28,Yes,1488,10,4,1,4,44,3,1,3,4824,22660,5,19,3,3,80,1,6,1,2,1,4,2
No,Travel_Rarely,31-35,Current Employees,Sales,Medical,E0072,72,Female,HR Manager,Single,No,Yes,5,39,No,1437,17,3,1,2,42,2,4,3,5113,23253,1,9,2,2,80,0,17,2,6,8,5,3
Yes,Travel_Frequently,26-30,Current Employees,R&D,Life Sciences,E0073,73,Male,HR Manager,Divorced,Yes,Yes,3,39,No,1193,9,3,1,4,21,4,2,2,5219,26276,3,12,3,4,80,2,9,2,5,7,0,6
Yes,Travel_Rarely,41-45,Ex-Employees,R&D,Life Sciences,E0074,74,Male,HR Manager,Divorced,Yes,Yes,1,41,No,1239,4,4,1,4,50,2,3,3,9195,23462,2,17,1,3,80,2,20,1,6,3,1,8
Yes,Travel_Rarely,46-50,Current Employees,Sales,Medical,E0075,75,Male,Sales Executive,Divorced,Yes,Yes,1,33,Yes,1078,14,3,1,3,35,4,3,1,3093,21050,2,11,4,2,80,0,12,2,2,8,3,4
No,Travel_Frequently,46-50,Current Employees,Sales,Other,E0076,76,Male,Research Scientist,Divorced,Yes,Yes,4,28,Yes,1189,28,4,1,4,50,1,1,2,5972,20479,2,13,1,1,80,0,14,1,5,1,5,6
No,Travel_Frequently,46-50,Current Employees,HR,Medical,E0077,77,Male,HR Manager,Married,No,Yes,5,36,No,1479,8,2,1,4,22,3,1,3,5142,29193,1,20,3,4,80,3,13,3,9,9,1,5
Yes,Travel_Rarely,41-45,Current Employees,Sales,Medical,E0078,78,Male,Research Scientist,Married,Yes,Yes,2,37,No,1242,13,1,1,1,33,4,5,3,6297,24016,1,12,3,3,80,2,15,1,6,5,4,6
No,Travel_Rarely,36-40,Current Employees,R&D,Medical,E0079,79,Male,HR Manager,Divorced,Yes,Yes,4,41,No,1323,10,5,1,2,20,2,3,3,7070,23626,2,11,1,3,80,2,16,2,1,9,5,5
Yes,Travel_Rarely,41-45,Ex-Employees,HR,Medical,E0080,80,Male,Sales Executive,Married,No,Yes,3,30,Yes,1149,7,5,1,3,20,4,2,4,7032,25050,3,5,2,4,80,3,16,2,5,7,2,9
Yes,Travel_Frequently,31-35,Ex-Employees,Sales,Other,E0081,81,Female,HR Manager,Married,No,Yes,5,40,Yes,1131,9,5,1,2,30,2,3,1,6897,22878,1,19,1,4,80,3,7,1,9,5,2,6
No,Travel_Frequently,31-35,Current Employees,R&D,Life Sciences,E0082,82,Male,Research Scientist,Single,No,Yes,3,32,Yes,1216,18,3,1,2,36,2,5,3,8301,25897,2,6,4,1,80,1,10,3,2,2,0,4
Yes,Travel_Rarely,36-40,Ex-Employees,Sales,Other,E0083,83,Male,Sales Executive,Married,Yes,Yes,5,28,No,1266,6,3,1,3,44,1,5,2,3532,28808,1,17,3,2,80,1,12,3,3,4,5,10
No,Travel_Rarely,46-50,Ex-Employees,HR,Life Sciences,E0084,84,Female,Research Scientist,Single,No,Yes,5,36,Yes,1324,3,2,1,4,31,2,4,2,4645,23676,3,10,1,4,80,0,6,2,9,10,1,8
No,Travel_Rarely,41-45,Ex-Employees,R&D,Medical,E0085,85,Female,Sales Executive,Divorced,Yes,Yes,5,30,Yes,1199,29,2,1,2,48,1,2,2,6261,25122,4,11,2,4,80,1,17,3,6,6,0,2
No,Travel_Rarely,36-40,Current Employees,Sales,Other,E0086,86,Male,Research Scientist,Divorced,No,Yes,2,36,No,1270,26,3,1,1,45,1,5,3,8626,25214,4,18,4,2,80,2,9,3,4,6,2,10
No,Travel_Rarely,26-30,Current Employees,HR,Medical,E0087,87,Male,HR Manager,Divorced,Yes,Yes,5,39,Yes,1443,11,1,1,2,42,2,5,3,3993,23162,1,18,3,3,80,0,9,4,7,10,0,7
No,Travel_Rarely,31-35,Ex-Employees,Sales,Medical,E0088,88,Female,Sales Executive,Married,Yes,Yes,4,43,Yes,1418,4,3,1,3,25,1,5,4,6009,29365,3,18,3,1,80,2,2,3,6,4,5,9
No,Travel_Frequently,26-30,Current Employees,HR,Medical,E0089,89,Female,Research Scientist,Divorced,No,Yes,1,40,No,1107,29,4,1,4,23,2,5,2,8478,23930,5,13,3,1,80,3,13,3,8,8,3,7
Yes,Travel_Frequently,26-30,Ex-Employees,R&D,Other,E0090,90,Male,Sales Executive,Single,Yes,Yes,5,38,No,1071,13,3,1,4,34,4,3,1,8202,21703,3,8,3,4,80,0,4,3,5,5,0,4
No,Travel_Frequently,41-45,Ex-Employees,R&D,Medical,E0091,91,Female,Research Scientist,Married,Yes,Yes,2,34,Yes,1046,30,1,1,4,48,4,1,1,7559,23449,2,19,2,4,80,1,15,4,4,4,4,10
No,Travel_Frequently,36-40,Ex-Employees,Sales,Life Sciences,E0092,92,Female,Research Scientist,Married,No,Yes,3,43,No,1232,11,3,1,2,39,3,5,4,7257,25502,3,18,2,2,80,3,13,1,5,8,4,1
Yes,Travel_Frequently,26-30,Ex-Employees,R&D,Medical,E0093,93,Male,Sales Executive,Single,No,Yes,5,41,No,1356,13,3,1,3,26,3,4,4,7290,24351,3,13,3,2,80,2,10,4,10,9,4,3
Yes,Travel_Frequently,26-30,Current Employees,Sales,Other,E0094,94,Male,HR Manager,Married,No,Yes,1,47,Yes,1147,25,3,1,4,39,2,3,1,6457,22439,1,12,2,2,80,2,20,4,3,1,1,5
No,Travel_Frequently,46-50,Ex-Employees,Sales,Other,E0095,95,Male,Sales Executive,Married,Yes,Yes,2,33,Yes,1266,29,2,1,4,37,1,2,3,5922,29581,2,15,1,2,80,1,19,4,1,8,2,10
Yes,Travel_Frequently,46-50,Ex-Employees,R&D,Medical,E0096,96,Female,HR Manager,Single,No,Yes,2,37,Yes,1473,26,3,1,1,43,3,1,1,8380,29662,2,13,3,3,80,0,18,1,3,1,1,1
Yes,Travel_Rarely,26-30,Ex-Employees,Sales,Life Sciences,E0097,97,Male,Research Scientist,Divorced,Yes,Yes,3,48,No,1229,15,4,1,2,36,4,3,4,5083,24457,4,20,3,3,80,2,16,1,1,7,2,4
No,Travel_Rarely,41-45,Ex-Employees,Sales,Medical,E0098,98,Female,Sales Executive,Married,No,Yes,5,30,No,1195,14,4,1,3,45,4,1,1,8067,20035,3,19,2,1,80,2,19,3,4,5,3,5
No,Travel_Rarely,26-30,Current Employees,R&D,Other,E0099,99,Male,Sales Executive,Single,No,Yes,4,43,No,1023,4,5,1,3,48,3,2,1,9531,29240,5,15,1,1,80,3,14,4,3,5,1,1
Yes,Travel_Rarely,31-35,Current Employees,HR,Medical,E0100,100,Male,HR Manager,Married,Yes,Yes,5,38,No,1337,10,2,1,1,22,3,2,2,6595,29641,1,20,3,1,80,2,12,4,6,6,5,1
No,Travel_Rarely,36-40,Ex-Employees,Sales,Medical,E0101,101,Male,HR Manager,Single,Yes,Yes,2,33,Yes,1350,19,1,1,2,42,3,5,4,9386,20537,1,18,1,1,80,3,15,4,7,1,3,10
Yes,Travel_Rarely,41-45,Current Employees,Sales,Other,E0102,102,Female,Sales Executive,Married,Yes,Yes,5,44,No,1278,21,4,1,1,29,4,5,4,3108,29178,1,19,2,4,80,3,9,3,6,2,3,7
Yes,Travel_Rarely,46-50,Current Employees,Sales,Other,E0103,103,Male,Sales Executive,Divorced,No,Yes,4,43,No,1250,22,2,1,2,37,3,2,1,5601,20995,3,11,2,3,80,2,19,4,10,6,4,5
No,Travel_Frequently,36-40,Current Employees,R&D,Other,E0104,104,Female,Research Scientist,Single,No,Yes,4,48,No,1110,8,1,1,3,32,1,5,3,7338,27440,1,17,2,4,80,0,5,2,1,9,3,10
Yes,Travel_Rarely,31-35,Current Employees,HR,Other,E0105,105,Female,Sales Executive,Divorced,No,Yes,2,33,No,1003,6,4,1,4,44,1,1,4,8406,26923,3,10,1,4,80,0,14,2,4,6,4,4
Yes,Travel_Frequently,41-45,Current Employees,R&D,Life Sciences,E0106,106,Female,Sales Executive,Single,Yes,Yes,1,48,Yes,1380,28,1,1,3,30,3,5,3,4775,26359,5,18,1,2,80,0,17,3,4,9,2,7
Yes,Travel_Rarely,41-45,Current Employees,R&D,Medical,E0107,107,Female,Sales Executive,Married,No,Yes,2,33,No,1296,28,2,1,3,38,4,2,3,3654,21204,2,7,2,1,80,3,15,4,8,4,3,6
No,Travel_Frequently,41-45,Ex-Employees,R&D,Other,E0108,108,Female,Research Scientist,Married,No,Yes,4,34,Yes,1008,14,5,1,4,30,3,4,3,5702,27858,4,11,3,1,80,1,11,4,6,7,3,2
No,Travel_Rarely,46-50,Current Employees,HR,Other,E0109,109,Male,HR Manager,Married,Yes,Yes,4,46,No,1234,24,5,1,3,46,3,5,1,4584,29302,3,17,4,3,80,1,2,1,5,9,5,2
Yes,Travel_Frequently,36-40,Current Employees,R&D,Medical,E0110,110,Female,Sales Executive,Married,No,Yes,5,43,No,1149,21,2,1,4,47,3,5,2,9023,23149,5,7,1,3,80,2,9,2,9,10,5,7
No,Travel_Frequently,31-35,Ex-Employees,R&D,Life Sciences,E0111,111,Female,Sales Executive,Single,Yes,Yes,3,37,Yes,1444,15,2,1,2,43,4,5,4,8850,22467,2,10,1,1,80,0,2,3,8,1,2,6
Yes,Travel_Rarely,26-30,Ex-Employees,R&D,Other,E0112,112,Female,Research Scientist,Single,No,Yes,4,50,No,1174,18,5,1,3,43,1,3,4,3849,27489,5,12,3,1,80,0,14,1,8,6,1,6
Yes,Travel_Frequently,26-30,Current Employees,HR,Other,E0113,113,Female,Sales Executive,Married,No,Yes,1,44,No,1070,25,3,1,1,24,4,5,3,9624,28320,5,6,1,2,80,2,8,1,7,2,4,4
Yes,Travel_Frequently,26-30,Ex-Employees,HR,Life Sciences,E0114,114,Male,HR Manager,Divorced,Yes,Yes,2,39,No,1334,3,3,1,1,48,2,3,2,4898,27085,4,15,1,2,80,1,14,2,7,4,3,7
Yes,Travel_Rarely,36-40,Current Employees,HR,Life Sciences,E0115,115,Female,Research Scientist,Married,No,Yes,4,42,Yes,1276,15,3,1,2,50,2,5,4,5918,24574,1,6,2,3,80,2,10,2,3,1,5,5
Yes,Travel_Frequently,41-45,Current Employees,HR,Other,E0116,116,Male,Research Scientist,Divorced,No,Yes,5,38,No,1230,5,1,1,2,36,2,1,1,9966,21716,4,11,3,3,80,3,4,2,9,8,2,2
No,Travel_Rarely,31-35,Ex-Employees,R&D,Other,E0117,117,Female,Sales Executive,Single,Yes,Yes,5,38,No,1432,25,3,1,4,38,3,3,4,8217,24324,4,5,2,1,80,3,5,4,4,4,1,5
Yes,Travel_Rarely,46-50,Current Employees,HR,Other,E0118,118,Male,Sales Executive,Single,No,Yes,3,37,Yes,1241,29,5,1,2,20,1,2,2,6650,22167,2,15,4,4,80,1,1,2,3,1,2,4
